num bound nonbound
1 2399 366
2 616 241
3 140 108
4 54 68
5 37 25
6 16 10
7 4 9
8 5 13
9 3 4
10 5 4
11 4 5
12 1 2
13 1 5
14 1 3
15 1 2
16 0 2
17 1 0
20 0 1
24 0 1
