num bound nonbound
0 0 10
1 163 61
2 227 88
3 65 66
4 43 103
5 16 27
6 5 21
7 6 15
8 4 8
9 4 9
10 3 8
11 0 5
12 3 7
13 0 6
14 0 1
15 0 3
16 2 1
17 0 3
19 0 1
20 0 4
21 0 5
22 0 1
23 0 1
24 0 1
25 0 1
26 0 1
27 1 0
30 1 0
42 1 0
54 0 1
