num bound nonbound
1 8779 2453
2 1849 878
3 407 232
4 74 100
5 38 46
6 22 30
7 13 15
8 13 11
9 9 12
10 3 5
11 5 5
12 1 1
13 1 4
14 3 0
15 1 1
16 3 1
17 1 3
19 0 1
21 0 2
24 0 1
25 0 1
28 1 0
30 0 2
32 0 1
33 0 1
34 1 2
36 0 1
40 1 0
52 0 1
66 0 1
92 0 1
98 0 1
100 0 1
102 0 2
247 0 1
302 0 1
