num bound nonbound
0 37 51
1 286 168
2 104 70
3 48 34
4 19 26
5 17 24
6 7 21
7 5 8
8 4 13
9 4 10
10 4 5
11 1 4
12 2 5
13 0 6
14 1 3
15 3 0
16 0 1
17 1 1
18 0 1
19 0 2
20 0 1
21 0 1
23 1 1
25 0 1
39 0 1
