num bound nonbound
0 1 25
1 36 26
2 284 166
3 96 63
4 37 25
5 23 22
6 12 19
7 10 12
8 10 6
9 5 7
10 3 10
11 2 10
12 4 6
13 2 6
14 3 3
15 1 3
16 2 3
17 0 4
18 0 4
19 0 2
20 2 3
21 2 2
22 0 3
23 1 4
24 1 4
26 0 3
27 3 0
28 0 3
29 0 2
30 0 2
31 0 1
33 0 1
35 1 0
38 0 1
39 1 0
40 1 0
43 0 1
47 1 0
50 0 1
52 0 1
57 0 1
59 0 1
66 0 1
89 0 1
