num bound nonbound
0 181 213
1 5675 1361
2 1498 595
3 1491 414
4 465 225
5 638 305
6 332 98
7 221 92
8 126 81
9 116 62
10 76 41
11 56 30
12 44 87
13 38 37
14 39 24
15 26 24
16 77 13
17 23 9
18 18 11
19 17 9
20 17 9
21 9 6
22 4 12
23 7 5
24 6 3
25 3 6
26 3 1
27 3 5
28 1 1
29 4 2
30 1 3
31 1 3
32 2 3
33 3 5
35 1 2
36 0 3
37 2 3
39 0 1
40 1 0
41 0 2
42 0 2
43 0 1
45 0 1
47 0 1
52 0 1
53 0 1
59 0 2
63 0 1
74 0 1
80 0 1
